sample_id,run_id,model_key,prompt_type,question_id,repeat,parse_mode,format_ok
S0044,main_qwen35,qwen35,P1,U4-F05,0,marker,True
S0045,main_gemma4,gemma4,P5,A1-18,0,marker,True
S0046,main_gemma4,gemma4,P4,A4-08,0,marker,True
S0047,main_gemma4,gemma4,P2,A3-04,0,marker,True
S0048,main_gemma4,gemma4,P3,A1-14,0,marker,True
S0049,main_gptoss20,gptoss20,P0,U3-P04,0,marker,True
S0050,main_gemma4,gemma4,P4,A4-04,0,marker,True
S0051,main_qwen35,qwen35,P5,A1-17,0,marker,True
S0052,main_gptoss20,gptoss20,P3,U6-04,0,marker,True
S0053,main_gemma4,gemma4,P0,A4-10,0,marker,True
S0054,main_gemma4,gemma4,P2L,U2-18,0,marker,True
S0055,main_gemma4,gemma4,P2,U6-01,0,marker,True
S0056,main_gemma4,gemma4,P2,A2-08,0,marker,True
S0057,main_qwen35,qwen35,P5,U6-05,0,marker,True
S0058,main_gemma4,gemma4,P4,U3-E06,0,marker,True
S0059,main_qwen35,qwen35,P5,U2-25,0,near_marker,False
S0060,main_gemma4,gemma4,P4,A3-08,0,marker,True
S0061,main_qwen35,qwen35,P5,U5-05,0,marker,True
S0062,main_gemma4,gemma4,P4,U4-R03,0,marker,True
S0063,main_gptoss20,gptoss20,P2,U5-01,0,marker,True
S0064,main_gemma4,gemma4,P4,U1-04,0,marker,True
S0065,main_gemma4,gemma4,P5,U5-01,0,marker,True
S0066,main_gemma4,gemma4,P5,U3-E02,0,marker,True
S0067,main_gemma4,gemma4,P1,U1-11,0,marker,True
S0068,main_qwen35,qwen35,P2L,U3-P02,0,marker,True
S0069,main_gemma4,gemma4,P0,U3-P07,0,marker,True
S0070,main_gemma4,gemma4,P0,U4-R05,0,marker,True
S0071,main_qwen35,qwen35,P0,A2-15,0,marker,True
S0072,main_gemma4,gemma4,P2,U1-04,0,marker,True
S0073,main_gemma4,gemma4,P2,U5-01,0,marker,True
S0074,main_gemma4,gemma4,P2L,U1-04,0,marker,True
S0075,main_gemma4,gemma4,P2L,U4-F04,0,marker,True
S0076,main_gptoss20,gptoss20,P2,U5-03,0,marker,True
S0077,main_gptoss20,gptoss20,P1,A2-43,0,marker,True
S0078,main_gemma4,gemma4,P0,U2-07,0,marker,True
S0079,main_gemma4,gemma4,P5,U4-F04,0,marker,True
S0080,main_gemma4,gemma4,P0,U5-01,0,marker,True
S0081,main_gemma4,gemma4,P4,U3-N04,0,marker,True
S0082,main_gemma4,gemma4,P5,A3-04,0,marker,True
S0083,main_qwen35,qwen35,P4,U2-12,0,marker,True
S0084,main_gemma4,gemma4,P3,A1-13,0,marker,True
S0085,main_gptoss20,gptoss20,P5,U6-01,0,marker,True
S0086,main_gptoss20,gptoss20,P4,U5-05,0,marker,True
S0087,main_qwen35,qwen35,P2,A1-15,0,marker,True
S0088,main_gptoss20,gptoss20,P4,U6-05,0,marker,True
S0089,main_qwen35,qwen35,P2L,A1-10,0,marker,True
S0090,main_gemma4,gemma4,P0,A3-10,0,marker,True
S0091,main_gemma4,gemma4,P2,U4-F04,0,marker,True
S0092,main_gemma4,gemma4,P0,A2-32,0,marker,True
S0093,main_gemma4,gemma4,P1,A3-11,0,marker,True
S0094,main_gptoss20,gptoss20,P3,A3-14,0,marker,True
S0095,main_gptoss20,gptoss20,P0,A1-06,0,marker,True
S0096,main_qwen35,qwen35,P1,U3-P08,0,raw,False
S0097,main_gptoss20,gptoss20,P5,A2-40,0,marker,True
S0098,main_gemma4,gemma4,P5,A4-04,0,marker,True
S0099,main_gptoss20,gptoss20,P3,U4-S04,0,marker,True
S0100,main_gptoss20,gptoss20,P5,U5-01,0,marker,True
