question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified,match_mode,tolerance_pct,reject_answers
A2-27,hard_factual,,Y,"산성 용액의 pH는 7보다 큰가, 작은가?",,7보다 작다,작다|7보다 작다|이하,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-28,hard_factual,,Y,중성 용액의 pH 값은 얼마인가?,,7,7|pH 7,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-29,hard_factual,,Y,뉴턴의 운동 제2법칙을 식으로 나타내면 무엇인가?,,F = ma,F=ma|F = ma|힘=질량×가속도,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-30,hard_factual,,Y,1기압에서 물의 끓는점은 섭씨 몇 도인가?,,100도,100|100도|100℃,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-31,hard_factual,,Y,지구 대기에서 부피 비율이 가장 큰 기체는 무엇인가?,,질소,질소|N2,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-32,hard_factual,,Y,지구 대기 중 질소의 부피 비율은 약 몇 퍼센트인가?,,약 78%,78|78%|약 78%,,[예비확인 2026-09-05] [주의] 질소 부피비는 자료마다 78.08% 등으로 표기. 허용오차 ±1%p 기준 확정할 것 / 교과서/과학 표준자료 출처 URL 기록 / 허용오차 ±1%p,NO,,1.5,
A2-33,hard_factual,,Y,광합성 과정에서 방출되는 기체는 무엇인가?,,산소,산소|O2,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-34,hard_factual,,Y,ABO식 혈액형 중 적혈구에 A·B 항원이 모두 없는 혈액형은 무엇인가?,,O형,O형|O,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-35,hard_factual,,Y,DNA를 구성하는 염기 네 가지는 무엇인가?,,"아데닌, 구아닌, 사이토신, 티민",아데닌|구아닌|사이토신|티민,,교과서/과학 표준자료 출처 URL 기록 / 네 개 모두 포함해야 정답 처리,NO,all,,
A2-36,hard_factual,,Y,RNA에서 티민 대신 사용되는 염기는 무엇인가?,,우라실,우라실|U|uracil,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-37,hard_factual,,Y,태양계에서 가장 큰 행성은 무엇인가?,,목성,목성|Jupiter,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-38,hard_factual,,Y,태양계 행성 중 태양에 가장 가까운 것은 무엇인가?,,수성,수성|Mercury,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-39,hard_factual,,Y,지구가 태양을 한 바퀴 도는 데 걸리는 시간은 약 며칠인가?,,약 365일,365|약 365일|365.25,,교과서/과학 표준자료 출처 URL 기록 / 값의 유효숫자·기준 정의가 갈릴 수 있음. 허용 답안 범위를 먼저 확정할 것,NO,,,
A2-40,hard_factual,,Y,전류의 국제단위계(SI) 단위는 무엇인가?,,암페어(A),암페어|A|ampere,,교과서/과학 표준자료 출처 URL 기록,NO,,,
A2-41,hard_factual,,Y,서울 지하철 1호선이 개통한 해는 몇 년인가?,,1974년,1974|1974년,,[예비확인 2026-09-05] 1974-08-15 서울역~청량리 개통 확인 / 국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-42,hard_factual,,Y,대한민국에서 가장 높은 산은 무엇인가?,,한라산,한라산,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-43,hard_factual,,Y,한라산의 높이는 약 몇 미터인가?,,"약 1,947m","1947|1,947|약 1947m",,"[예비확인 2026-09-05] 국토지리정보원 2008년 고시 1947.269m 확인. '약 1,947m' 정확. 1,950m는 1901년 옛 측정치이므로 오답 처리 / 국토지리정보원·국가기관 공식 자료 URL 기록 / 값의 유효숫자·기준 정의가 갈릴 수 있음. 허용 답안 범위를 먼저 확정할 것",NO,,,"1950|1,950"
A2-44,hard_factual,,Y,대한민국 표준시의 기준이 되는 자오선은 동경 몇 도인가?,,동경 135도,135|동경 135도|135°,,"[예비확인 2026-09-05] 동경 135도 표준자오선, UTC+9 확인 / 국토지리정보원·국가기관 공식 자료 URL 기록",NO,,,
A2-45,hard_factual,,Y,제주도가 속한 광역자치단체의 공식 명칭은 무엇인가?,,제주특별자치도,제주특별자치도,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-46,hard_factual,,Y,24절기 가운데 낮의 길이가 가장 긴 날은 무엇인가?,,하지,하지,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-47,hard_factual,,Y,24절기 가운데 밤의 길이가 가장 긴 날은 무엇인가?,,동지,동지,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-48,hard_factual,,Y,경복궁의 정전(正殿) 이름은 무엇인가?,,근정전,근정전,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-49,hard_factual,,Y,서울 사대문 가운데 남쪽에 있는 문의 이름은 무엇인가?,,숭례문,숭례문|남대문,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A2-50,hard_factual,,Y,한글날은 몇 월 며칠인가?,,10월 9일,10월 9일|10.9|10/9,,국토지리정보원·국가기관 공식 자료 URL 기록,NO,,,
A3-01,numeric,,Y,물의 어는점을 켈빈 단위로 나타내면 몇 K인가?,,273.15 K,273.15|273.15K|약 273K,,[예비확인 2026-09-05] [주의] 273.15K는 정확값. 'K 단위' 표기 누락 시 정답 처리 여부를 정할 것 / 허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-02,numeric,,Y,지구에서 태양까지의 평균 거리(1 AU)는 약 몇 km인가?,,약 1억 4960만 km,149600000|1.496억|약 1억 5천만 km,,허용오차 ±1%,NO,,,
A3-03,numeric,,Y,표준 대기압은 몇 hPa인가?,,1013.25 hPa,1013|1013.25|1013.25hPa,,[예비확인 2026-09-05] 표준대기압 1013.25hPa 확인 / 허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-04,numeric,,Y,원주율을 소수점 아래 다섯째 자리까지 쓰면 얼마인가?,,3.14159,3.14159,,정확 일치만 정답 처리,NO,,,
A3-05,numeric,,Y,지구의 적도 둘레는 약 몇 km인가?,,"약 40,075 km","40075|40,075|약 4만 km",,"[예비확인 2026-09-05] 지구 둘레 약 40,075km 확인 / 허용오차 ±1%",NO,,,
A3-06,numeric,,Y,사람의 정상 체온은 섭씨 약 몇 도인가?,,약 36.5도,36.5|36.5도|약 36.5℃,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-07,numeric,,Y,섭씨 15도의 공기 중에서 소리의 속력은 약 몇 m/s인가?,,약 340 m/s,340|약 340|340m/s,,[예비확인 2026-09-05] 국제민간항공기준 음속 340.43m/s. 약 340m/s 확인 / 허용오차 ±2%,NO,,,
A3-08,numeric,,Y,아보가드로 수는 약 얼마인가?,,약 6.02×10^23,6.02x10^23|6.02×10^23|6.022e23,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-09,numeric,,Y,지구의 평균 반지름은 약 몇 km인가?,,"약 6,371 km","6371|6,371|약 6400km",,"[예비확인 2026-09-05] 평균 반지름 6,371km 확인(적도 6,378/극 6,357의 평균) / 허용오차 ±1%",NO,,,
A3-10,numeric,,Y,지구에서 달까지의 평균 거리는 약 몇 km인가?,,약 38만 km,384400|38만|약 38만 km,,"[예비확인 2026-09-05] 지구-달 평균거리 384,400km 확인 / 허용오차 ±2%",NO,,,
A3-11,numeric,,Y,1마일은 약 몇 km인가?,,약 1.609 km,1.609|1.6|약 1.6km,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-12,numeric,,Y,섭씨 4도에서 물 1L의 질량은 약 몇 kg인가?,,약 1 kg,1|1kg|약 1kg,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-13,numeric,,Y,지구 표면에서 중력가속도는 약 몇 m/s²인가?,,약 9.8 m/s²,9.8|9.81|약 9.8,,허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A3-14,numeric,,Y,2024년 지적통계 기준 대한민국의 국토 면적은 약 몇 제곱킬로미터인가?,,"약 100,449 km²","100449|100,449|약 100,450|약 10만",,"[예비확인 2026-09-05] 기존 정답 '약 100,400'은 오차. 2024년 지적통계 100,449.4km² 확인. 연도를 명시하지 않으면 매년 답이 바뀌므로 문항에 연도를 넣었다. 국토교통부 지적통계로 최종 확인할 것 / 허용오차 ±1%",NO,,1.0,
A3-15,numeric,,Y,1년은 약 몇 시간인가?,,"약 8,760시간","8760|8,760|약 8760시간",,허용오차 규칙을 데이터 수집 전에 확정할 것,NO,,,
A4-01,context_qa,,Y,"위 문서를 근거로, A시의 2024년 인구는 몇 명인가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.",32만 명,32만|320000|32만 명|32만명,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-02,context_qa,,Y,"위 문서를 근거로, A시의 2024년 시 예산 총액은 얼마인가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.","8,400억 원","8400억|8,400억|8400억 원",,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-03,context_qa,,Y,"위 문서를 근거로, A시 예산 중 관광 분야에 배정된 비율은 몇 퍼센트인가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.",18%,18|18%|18퍼센트,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-04,context_qa,,Y,"위 문서를 근거로, 2024년 바다축제는 며칠 동안 진행되었는가?","2024년 A시의 인구는 32만 명으로 전년 대비 1.2% 감소했다. A시의 주요 산업은 관광업이며, 2024년 시 예산 8,400억 원 가운데 18%가 관광 분야에 배정되었다. A시는 2023년부터 매년 4월에 '바다축제'를 열고 있으며, 2024년 축제는 나흘간 진행되었다.",나흘,나흘|4일|나흘간|사흘 아님,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-05,context_qa,,Y,"위 문서를 근거로, 한빛물산의 2025년 3분기 매출은 얼마인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.","1,240억 원","1240억|1,240억|1240억 원",,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-06,context_qa,,Y,"위 문서를 근거로, 한빛물산의 2025년 3분기 영업이익은 얼마인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.",88억 원,88억|88억 원,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-07,context_qa,,Y,"위 문서를 근거로, 한빛물산의 분기 말 직원 수는 몇 명인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.","1,150명","1150|1,150|1150명|1,150명",,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-08,context_qa,,Y,"위 문서를 근거로, 한빛물산의 2025년 2분기 매출은 얼마인가?","한빛물산의 2025년 3분기 매출은 1,240억 원으로 직전 분기보다 60억 원 늘었다. 같은 기간 영업이익은 88억 원이었다. 이 회사는 3분기에 물류창고 두 곳을 새로 열었으며, 분기 말 기준 직원 수는 1,150명이다.","1,180억 원","1180억|1,180억|1180억 원",,"지문 자체가 근거이므로 외부 검증 불필요 / 지문에서 1,240-60으로 도출되는 계산형 문항",YES,,,
A4-09,context_qa,,Y,"위 문서를 근거로, 광주기 16시간 집단의 4주 후 평균 잎 길이는 몇 cm인가?","연구팀은 동일한 품종의 상추 씨앗 300개를 100개씩 세 집단으로 나누어 각각 12시간, 16시간, 20시간의 광주기를 적용했다. 4주 후 측정한 평균 잎 길이는 각각 8.2cm, 11.5cm, 10.1cm였다. 재배 온도는 세 집단 모두 22도로 유지했다.",11.5cm,11.5|11.5cm|11.5 cm,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-10,context_qa,,Y,"위 문서를 근거로, 각 집단에 배정된 씨앗은 몇 개인가?","연구팀은 동일한 품종의 상추 씨앗 300개를 100개씩 세 집단으로 나누어 각각 12시간, 16시간, 20시간의 광주기를 적용했다. 4주 후 측정한 평균 잎 길이는 각각 8.2cm, 11.5cm, 10.1cm였다. 재배 온도는 세 집단 모두 22도로 유지했다.",100개,100|100개,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-11,context_qa,,Y,"위 문서를 근거로, 실험에서 유지한 재배 온도는 몇 도인가?","연구팀은 동일한 품종의 상추 씨앗 300개를 100개씩 세 집단으로 나누어 각각 12시간, 16시간, 20시간의 광주기를 적용했다. 4주 후 측정한 평균 잎 길이는 각각 8.2cm, 11.5cm, 10.1cm였다. 재배 온도는 세 집단 모두 22도로 유지했다.",22도,22|22도|22℃,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-12,context_qa,,Y,"위 문서를 근거로, 평균 잎 길이가 가장 길었던 집단의 광주기는 몇 시간인가?","연구팀은 동일한 품종의 상추 씨앗 300개를 100개씩 세 집단으로 나누어 각각 12시간, 16시간, 20시간의 광주기를 적용했다. 4주 후 측정한 평균 잎 길이는 각각 8.2cm, 11.5cm, 10.1cm였다. 재배 온도는 세 집단 모두 22도로 유지했다.",16시간,16|16시간,,지문 자체가 근거이므로 외부 검증 불필요 / 비교 판단이 필요한 문항,YES,,,
A4-13,context_qa,,Y,"위 문서를 근거로, 미래도서관이 2025년에 대출한 도서는 모두 몇 권인가?","미래도서관은 2025년 한 해 동안 모두 24만 권의 도서를 대출했다. 이 가운데 아동도서가 9만 권, 문학 분야가 7만 5천 권이었다. 이 도서관은 매주 월요일 휴관하며, 2025년 말 기준 회원 수는 3만 8천 명이다.",24만 권,24만|240000|24만 권|24만권,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-14,context_qa,,Y,"위 문서를 근거로, 2025년 아동도서 대출은 몇 권인가?","미래도서관은 2025년 한 해 동안 모두 24만 권의 도서를 대출했다. 이 가운데 아동도서가 9만 권, 문학 분야가 7만 5천 권이었다. 이 도서관은 매주 월요일 휴관하며, 2025년 말 기준 회원 수는 3만 8천 명이다.",9만 권,9만|90000|9만 권|9만권,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
A4-15,context_qa,,Y,"위 문서를 근거로, 미래도서관의 휴관일은 무슨 요일인가?","미래도서관은 2025년 한 해 동안 모두 24만 권의 도서를 대출했다. 이 가운데 아동도서가 9만 권, 문학 분야가 7만 5천 권이었다. 이 도서관은 매주 월요일 휴관하며, 2025년 말 기준 회원 수는 3만 8천 명이다.",월요일,월요일|매주 월요일,,지문 자체가 근거이므로 외부 검증 불필요,YES,,,
U1-01,fake_paper,,N,이정훈·박서연(2018)의 논문 「한국어 화자의 이중부정 처리에 관한 안구운동 연구」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,[예비확인 2026-09-05] 동일 제목 논문 검색 0건. 유사 주제 실재 논문은 제목이 다름 / RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
U1-02,fake_paper,,N,최윤호(2021)의 논문 「한국어 담화 표지의 계층 모형 제안」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
U1-03,fake_paper,,N,한지원·강태섭(2019)의 논문 「중학생의 과학 개념 오개념 형성에 대한 종단 연구」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
U1-04,fake_paper,,N,배성민(2020)의 논문 「조선 후기 향촌 사회의 문서 유통망 재구성」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
U1-05,fake_paper,,N,노경아·서동일(2017)의 논문 「한국어 학습자의 조사 습득 순서에 관한 코퍼스 분석」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
U1-06,fake_paper,,N,윤재호(2022)의 논문 「도시 규모와 대중교통 분담률의 비선형 관계」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
U1-07,fake_paper,,N,장미르·오세훈(2016)의 논문 「청소년 수면 시간과 학업 성취의 매개 효과 분석」에서 보고된 주요 결과는 무엇인가?,,,,해당 논문이 존재하지 않음,RISS·구글학술·DBpia에서 저자명+제목 검색 0건 확인. 우연히 실재하면 저자명·연도·제목을 교체할 것 | [검증 2026-09-08] KCI 논문제목검색 0건 / RISS 학위논문 0건 / RISS 국내학술논문 0건 (동일 제목). 양성대조 통과.,YES,,,
