question_id,question_type,question_subtype,answerable,question,context,ground_truth,acceptable_answers,why_unanswerable,verify_action,verified,doc_a,doc_b,evidence_doc,evidence_char_offset,evidence_para,b_type
B03-03,context_qa_nogold,,N,북산군 스마트팜 참여자의 2년차 평균 연매출은 얼마인가?,,,,자료는 생산량 배수와 유지율은 제시하지만 매출액은 다루지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"북산군은 2022년부터 스마트팜 시범사업을 운영한다. 군이 유휴 부지에 온실을 조성해 청년 농업인에게 임대하고, 재배 기술과 판로를 함께 지원하는 사업이다. 대상 부지는 폐교 부지와 군 소유 유휴지 가운데 진입로가 확보된 곳으로 한정했다.

시범사업 1기 모집에는 정원 12명에 47명이 지원했다. 선발된 12명에게는 1인당 660제곱미터의 온실이 배정됐고, 임대료는 연 84만 원으로 책정됐다. 임대 기간은 기본 3년이며 1회에 한해 2년 연장할 수 있다. 지원 자격은 만 39세 이하이면서 영농 경력 3년 미만인 사람으로 정했다. 온실은 단동형 비닐 온실이다.

군은 참여자에게 초기 정착금 1인당 1,200만 원을 지급한다. 정착금은 영농 자재와 시설 보완에만 쓸 수 있으며, 용도 외 사용이 확인되면 전액 환수한다. 정착금은 선발 직후 절반, 1년차 평가를 통과하면 나머지 절반을 지급한다.","북산군 농업기술센터는 스마트팜 시범사업 2년차 중간 점검 결과를 공개했다. 점검은 생산성과 참여자 유지율을 중심으로 이뤄졌다. 점검은 참여자 면담과 온실별 생산 기록 대조를 함께 진행했다. 점검 기간은 두 달이었다.

참여자 12명 중 10명이 2년차까지 사업을 유지했다. 중도 포기 2명은 모두 판로 확보의 어려움을 사유로 들었다. 단위면적당 생산량은 관행 재배 대비 1.7배로 집계됐다. 유지율 집계에서 휴경 기간이 3개월을 넘은 경우는 중도 포기로 분류했다. 관행 재배 기준은 군 평균값을 썼다.

센터는 온실 환경 제어 장비의 고장 빈도를 과제로 꼽았다. 2년간 접수된 장비 고장 신고는 38건이었고, 이 중 절반이 여름철 3개월에 집중됐다. 센터는 고장 신고 가운데 환기창 구동부 관련이 가장 많았다고 밝혔다. 수리까지 걸린 기간은 평균 4일이었다.",none,,,unanswerable_number
B03-04,context_qa_nogold,,N,북산군 스마트팜 시범사업의 기술 자문을 맡은 대학은 어디인가?,,,,자료에 자문 기관이나 협력 대학에 관한 언급이 없다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"북산군은 2022년부터 스마트팜 시범사업을 운영한다. 군이 유휴 부지에 온실을 조성해 청년 농업인에게 임대하고, 재배 기술과 판로를 함께 지원하는 사업이다. 대상 부지는 폐교 부지와 군 소유 유휴지 가운데 진입로가 확보된 곳으로 한정했다.

시범사업 1기 모집에는 정원 12명에 47명이 지원했다. 선발된 12명에게는 1인당 660제곱미터의 온실이 배정됐고, 임대료는 연 84만 원으로 책정됐다. 임대 기간은 기본 3년이며 1회에 한해 2년 연장할 수 있다. 지원 자격은 만 39세 이하이면서 영농 경력 3년 미만인 사람으로 정했다. 온실은 단동형 비닐 온실이다.

군은 참여자에게 초기 정착금 1인당 1,200만 원을 지급한다. 정착금은 영농 자재와 시설 보완에만 쓸 수 있으며, 용도 외 사용이 확인되면 전액 환수한다. 정착금은 선발 직후 절반, 1년차 평가를 통과하면 나머지 절반을 지급한다.","북산군 농업기술센터는 스마트팜 시범사업 2년차 중간 점검 결과를 공개했다. 점검은 생산성과 참여자 유지율을 중심으로 이뤄졌다. 점검은 참여자 면담과 온실별 생산 기록 대조를 함께 진행했다. 점검 기간은 두 달이었다.

참여자 12명 중 10명이 2년차까지 사업을 유지했다. 중도 포기 2명은 모두 판로 확보의 어려움을 사유로 들었다. 단위면적당 생산량은 관행 재배 대비 1.7배로 집계됐다. 유지율 집계에서 휴경 기간이 3개월을 넘은 경우는 중도 포기로 분류했다. 관행 재배 기준은 군 평균값을 썼다.

센터는 온실 환경 제어 장비의 고장 빈도를 과제로 꼽았다. 2년간 접수된 장비 고장 신고는 38건이었고, 이 중 절반이 여름철 3개월에 집중됐다. 센터는 고장 신고 가운데 환기창 구동부 관련이 가장 많았다고 밝혔다. 수리까지 걸린 기간은 평균 4일이었다.",none,,,unanswerable_entity
B04-01,context_qa,,Y,하람시 조례가 정한 시립도서관 평일 개관 시간은 어떻게 되는가?,,오전 9시부터 오후 10시까지,9시|10시|오후 10시,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"하람시는 2020년 공공도서관 운영 조례를 전부 개정했다. 개정의 핵심은 관장 자격 요건 완화와 개관 시간 확대다. 시는 생활권 단위 접근성을 개선하겠다는 목표를 제시했다. 개정 전 조례는 관장 자격을 사서직 5급 이상으로 제한했으나, 개정 조례는 이를 사서 자격증 소지자로 넓혔다.

개정 조례는 시립도서관 개관 시간을 평일 오전 9시부터 오후 10시까지로 정했다. 종전 오후 6시에서 네 시간 늘어난 것이다. 주말 개관 시간은 오전 10시부터 오후 6시까지로 유지했다. 개관 시간 확대는 시립도서관 전 관에 적용되며, 작은도서관은 종전 시간을 유지한다.

조례는 또한 각 도서관이 연간 장서 구입비의 20퍼센트 이상을 지역 서점에서 집행하도록 의무화했다. 위반 시 다음 연도 예산 배정에서 감액한다. 지역 서점의 범위는 하람시에 사업자 등록을 두고 1년 이상 영업한 곳으로 한정했다.","하람시 도서관정책과는 조례 개정 이후 3년간의 이용 지표를 정리했다. 자료는 개관 시간 확대의 효과가 관종별로 다르게 나타났다고 밝혔다. 집계 대상은 시립도서관 여섯 곳이며, 작은도서관과 이동도서관은 제외했다.

전체 대출 권수는 개정 전 연 118만 권에서 3년차 141만 권으로 늘었다. 특히 오후 6시 이후 대출이 전체의 22퍼센트를 차지했다. 방문자 수는 같은 기간 19퍼센트 증가했다. 오후 6시 이후 대출 비중은 관별로 편차가 커서, 주거지 인접 관은 29퍼센트, 업무지구 관은 11퍼센트였다.

지역 서점 구입 비율은 첫해 14퍼센트에 그쳐 의무 기준에 미달했다. 시는 2년차부터 공동 구매 절차를 도입해 3년차에 23퍼센트를 달성했다. 공동 구매는 시가 목록을 취합해 지역 서점 조합과 일괄 계약하는 방식이다. 배송 지연 민원이 함께 늘었다.",1,180,2,answerable_doc1
B04-02,context_qa,,Y,하람시 도서관의 지역 서점 구입 비율은 첫해와 3년차에 각각 몇 퍼센트인가?,,"첫해 14퍼센트, 3년차 23퍼센트",14|23,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"하람시는 2020년 공공도서관 운영 조례를 전부 개정했다. 개정의 핵심은 관장 자격 요건 완화와 개관 시간 확대다. 시는 생활권 단위 접근성을 개선하겠다는 목표를 제시했다. 개정 전 조례는 관장 자격을 사서직 5급 이상으로 제한했으나, 개정 조례는 이를 사서 자격증 소지자로 넓혔다.

개정 조례는 시립도서관 개관 시간을 평일 오전 9시부터 오후 10시까지로 정했다. 종전 오후 6시에서 네 시간 늘어난 것이다. 주말 개관 시간은 오전 10시부터 오후 6시까지로 유지했다. 개관 시간 확대는 시립도서관 전 관에 적용되며, 작은도서관은 종전 시간을 유지한다.

조례는 또한 각 도서관이 연간 장서 구입비의 20퍼센트 이상을 지역 서점에서 집행하도록 의무화했다. 위반 시 다음 연도 예산 배정에서 감액한다. 지역 서점의 범위는 하람시에 사업자 등록을 두고 1년 이상 영업한 곳으로 한정했다.","하람시 도서관정책과는 조례 개정 이후 3년간의 이용 지표를 정리했다. 자료는 개관 시간 확대의 효과가 관종별로 다르게 나타났다고 밝혔다. 집계 대상은 시립도서관 여섯 곳이며, 작은도서관과 이동도서관은 제외했다.

전체 대출 권수는 개정 전 연 118만 권에서 3년차 141만 권으로 늘었다. 특히 오후 6시 이후 대출이 전체의 22퍼센트를 차지했다. 방문자 수는 같은 기간 19퍼센트 증가했다. 오후 6시 이후 대출 비중은 관별로 편차가 커서, 주거지 인접 관은 29퍼센트, 업무지구 관은 11퍼센트였다.

지역 서점 구입 비율은 첫해 14퍼센트에 그쳐 의무 기준에 미달했다. 시는 2년차부터 공동 구매 절차를 도입해 3년차에 23퍼센트를 달성했다. 공동 구매는 시가 목록을 취합해 지역 서점 조합과 일괄 계약하는 방식이다. 배송 지연 민원이 함께 늘었다.",2,284,3,answerable_doc2
B04-03,context_qa_nogold,,N,하람시 공공도서관의 연간 장서 구입비 총액은 얼마인가?,,,,자료는 구입비 중 지역 서점 집행 비율만 다루고 총액은 제시하지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"하람시는 2020년 공공도서관 운영 조례를 전부 개정했다. 개정의 핵심은 관장 자격 요건 완화와 개관 시간 확대다. 시는 생활권 단위 접근성을 개선하겠다는 목표를 제시했다. 개정 전 조례는 관장 자격을 사서직 5급 이상으로 제한했으나, 개정 조례는 이를 사서 자격증 소지자로 넓혔다.

개정 조례는 시립도서관 개관 시간을 평일 오전 9시부터 오후 10시까지로 정했다. 종전 오후 6시에서 네 시간 늘어난 것이다. 주말 개관 시간은 오전 10시부터 오후 6시까지로 유지했다. 개관 시간 확대는 시립도서관 전 관에 적용되며, 작은도서관은 종전 시간을 유지한다.

조례는 또한 각 도서관이 연간 장서 구입비의 20퍼센트 이상을 지역 서점에서 집행하도록 의무화했다. 위반 시 다음 연도 예산 배정에서 감액한다. 지역 서점의 범위는 하람시에 사업자 등록을 두고 1년 이상 영업한 곳으로 한정했다.","하람시 도서관정책과는 조례 개정 이후 3년간의 이용 지표를 정리했다. 자료는 개관 시간 확대의 효과가 관종별로 다르게 나타났다고 밝혔다. 집계 대상은 시립도서관 여섯 곳이며, 작은도서관과 이동도서관은 제외했다.

전체 대출 권수는 개정 전 연 118만 권에서 3년차 141만 권으로 늘었다. 특히 오후 6시 이후 대출이 전체의 22퍼센트를 차지했다. 방문자 수는 같은 기간 19퍼센트 증가했다. 오후 6시 이후 대출 비중은 관별로 편차가 커서, 주거지 인접 관은 29퍼센트, 업무지구 관은 11퍼센트였다.

지역 서점 구입 비율은 첫해 14퍼센트에 그쳐 의무 기준에 미달했다. 시는 2년차부터 공동 구매 절차를 도입해 3년차에 23퍼센트를 달성했다. 공동 구매는 시가 목록을 취합해 지역 서점 조합과 일괄 계약하는 방식이다. 배송 지연 민원이 함께 늘었다.",none,,,unanswerable_number
B04-04,context_qa_nogold,,N,하람시가 조례 개정 이후 새로 건립한 분관의 이름은 무엇인가?,,,,자료는 개관 시간과 장서 구입만 다루며 분관 건립에 관한 언급이 없다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"하람시는 2020년 공공도서관 운영 조례를 전부 개정했다. 개정의 핵심은 관장 자격 요건 완화와 개관 시간 확대다. 시는 생활권 단위 접근성을 개선하겠다는 목표를 제시했다. 개정 전 조례는 관장 자격을 사서직 5급 이상으로 제한했으나, 개정 조례는 이를 사서 자격증 소지자로 넓혔다.

개정 조례는 시립도서관 개관 시간을 평일 오전 9시부터 오후 10시까지로 정했다. 종전 오후 6시에서 네 시간 늘어난 것이다. 주말 개관 시간은 오전 10시부터 오후 6시까지로 유지했다. 개관 시간 확대는 시립도서관 전 관에 적용되며, 작은도서관은 종전 시간을 유지한다.

조례는 또한 각 도서관이 연간 장서 구입비의 20퍼센트 이상을 지역 서점에서 집행하도록 의무화했다. 위반 시 다음 연도 예산 배정에서 감액한다. 지역 서점의 범위는 하람시에 사업자 등록을 두고 1년 이상 영업한 곳으로 한정했다.","하람시 도서관정책과는 조례 개정 이후 3년간의 이용 지표를 정리했다. 자료는 개관 시간 확대의 효과가 관종별로 다르게 나타났다고 밝혔다. 집계 대상은 시립도서관 여섯 곳이며, 작은도서관과 이동도서관은 제외했다.

전체 대출 권수는 개정 전 연 118만 권에서 3년차 141만 권으로 늘었다. 특히 오후 6시 이후 대출이 전체의 22퍼센트를 차지했다. 방문자 수는 같은 기간 19퍼센트 증가했다. 오후 6시 이후 대출 비중은 관별로 편차가 커서, 주거지 인접 관은 29퍼센트, 업무지구 관은 11퍼센트였다.

지역 서점 구입 비율은 첫해 14퍼센트에 그쳐 의무 기준에 미달했다. 시는 2년차부터 공동 구매 절차를 도입해 3년차에 23퍼센트를 달성했다. 공동 구매는 시가 목록을 취합해 지역 서점 조합과 일괄 계약하는 방식이다. 배송 지연 민원이 함께 늘었다.",none,,,unanswerable_entity
B05-01,context_qa,,Y,세연시 재활용 선별장의 설계 처리 용량과 준공 당시 총사업비는 얼마인가?,,"하루 220톤, 486억 원",220|486,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"세연시 재활용 선별장은 2018년 준공된 광역 처리시설이다. 시는 기존 소규모 선별장 네 곳을 통합해 하나의 시설로 재편했다. 처리 대상은 생활계 재활용 가능 자원이다. 통합 이전 네 곳은 모두 준공 20년을 넘겨 설비 노후화가 심했다. 부지 면적은 3만 1천 제곱미터다.

설계 처리 용량은 하루 220톤이며, 준공 당시 총사업비는 486억 원이었다. 시설은 광학 선별기 6대와 수선별 라인 4개를 갖췄다. 상시 근무 인원은 3교대 기준 78명이다. 광학 선별기는 재질별로 페트, 플라스틱, 종이 라인에 나눠 배치했다. 수선별 라인은 최종 품질 확인을 맡는다.

시는 선별 잔재물을 인접 소각시설로 반출한다. 반출 물량이 월 900톤을 넘으면 초과분에 대해 톤당 4만 2천 원의 추가 처리비를 부담하도록 협약에 정해져 있다. 협약 상대는 인접 자치단체가 공동 운영하는 소각시설이며, 협약 기간은 10년이다.","세연시 자원순환과가 공개한 선별장 운영 실적은 반입량 증가와 선별 품질 저하를 함께 보여준다. 자료는 최근 5년간의 지표를 담았다. 자료는 반입 계근 기록과 월별 선별 실적 보고를 근거로 작성됐다.

일평균 반입량은 준공 첫해 168톤에서 5년차 214톤으로 늘어 설계 용량에 근접했다. 반면 선별률은 같은 기간 61퍼센트에서 53퍼센트로 떨어졌다. 시는 이물질 혼입 증가를 원인으로 분석했다. 선별률은 반입량 대비 재활용품으로 출하된 물량의 비율로 정의한다. 이물질 혼입은 배출 단계 분리 미흡이 주된 원인으로 지목됐다.

잔재물 반출량은 5년차에 월평균 1,020톤을 기록해 협약 기준을 넘어섰다. 초과 처리비 부담은 해당 연도에만 6억 원을 웃돌았다. 시는 초과 처리비를 줄이기 위해 잔재물 감량 설비 도입을 검토 중이라고 밝혔다. 도입 여부는 내년 상반기에 결정할 계획이다.",1,154,2,answerable_doc1
B05-02,context_qa,,Y,세연시 선별장의 선별률은 준공 첫해와 5년차에 각각 몇 퍼센트인가?,,"첫해 61퍼센트, 5년차 53퍼센트",61|53,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"세연시 재활용 선별장은 2018년 준공된 광역 처리시설이다. 시는 기존 소규모 선별장 네 곳을 통합해 하나의 시설로 재편했다. 처리 대상은 생활계 재활용 가능 자원이다. 통합 이전 네 곳은 모두 준공 20년을 넘겨 설비 노후화가 심했다. 부지 면적은 3만 1천 제곱미터다.

설계 처리 용량은 하루 220톤이며, 준공 당시 총사업비는 486억 원이었다. 시설은 광학 선별기 6대와 수선별 라인 4개를 갖췄다. 상시 근무 인원은 3교대 기준 78명이다. 광학 선별기는 재질별로 페트, 플라스틱, 종이 라인에 나눠 배치했다. 수선별 라인은 최종 품질 확인을 맡는다.

시는 선별 잔재물을 인접 소각시설로 반출한다. 반출 물량이 월 900톤을 넘으면 초과분에 대해 톤당 4만 2천 원의 추가 처리비를 부담하도록 협약에 정해져 있다. 협약 상대는 인접 자치단체가 공동 운영하는 소각시설이며, 협약 기간은 10년이다.","세연시 자원순환과가 공개한 선별장 운영 실적은 반입량 증가와 선별 품질 저하를 함께 보여준다. 자료는 최근 5년간의 지표를 담았다. 자료는 반입 계근 기록과 월별 선별 실적 보고를 근거로 작성됐다.

일평균 반입량은 준공 첫해 168톤에서 5년차 214톤으로 늘어 설계 용량에 근접했다. 반면 선별률은 같은 기간 61퍼센트에서 53퍼센트로 떨어졌다. 시는 이물질 혼입 증가를 원인으로 분석했다. 선별률은 반입량 대비 재활용품으로 출하된 물량의 비율로 정의한다. 이물질 혼입은 배출 단계 분리 미흡이 주된 원인으로 지목됐다.

잔재물 반출량은 5년차에 월평균 1,020톤을 기록해 협약 기준을 넘어섰다. 초과 처리비 부담은 해당 연도에만 6억 원을 웃돌았다. 시는 초과 처리비를 줄이기 위해 잔재물 감량 설비 도입을 검토 중이라고 밝혔다. 도입 여부는 내년 상반기에 결정할 계획이다.",2,164,2,answerable_doc2
B05-03,context_qa_nogold,,N,세연시 선별장에서 회수한 재활용품의 연간 판매 수입은 얼마인가?,,,,자료는 반입량·선별률·처리비는 다루지만 판매 수입은 제시하지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"세연시 재활용 선별장은 2018년 준공된 광역 처리시설이다. 시는 기존 소규모 선별장 네 곳을 통합해 하나의 시설로 재편했다. 처리 대상은 생활계 재활용 가능 자원이다. 통합 이전 네 곳은 모두 준공 20년을 넘겨 설비 노후화가 심했다. 부지 면적은 3만 1천 제곱미터다.

설계 처리 용량은 하루 220톤이며, 준공 당시 총사업비는 486억 원이었다. 시설은 광학 선별기 6대와 수선별 라인 4개를 갖췄다. 상시 근무 인원은 3교대 기준 78명이다. 광학 선별기는 재질별로 페트, 플라스틱, 종이 라인에 나눠 배치했다. 수선별 라인은 최종 품질 확인을 맡는다.

시는 선별 잔재물을 인접 소각시설로 반출한다. 반출 물량이 월 900톤을 넘으면 초과분에 대해 톤당 4만 2천 원의 추가 처리비를 부담하도록 협약에 정해져 있다. 협약 상대는 인접 자치단체가 공동 운영하는 소각시설이며, 협약 기간은 10년이다.","세연시 자원순환과가 공개한 선별장 운영 실적은 반입량 증가와 선별 품질 저하를 함께 보여준다. 자료는 최근 5년간의 지표를 담았다. 자료는 반입 계근 기록과 월별 선별 실적 보고를 근거로 작성됐다.

일평균 반입량은 준공 첫해 168톤에서 5년차 214톤으로 늘어 설계 용량에 근접했다. 반면 선별률은 같은 기간 61퍼센트에서 53퍼센트로 떨어졌다. 시는 이물질 혼입 증가를 원인으로 분석했다. 선별률은 반입량 대비 재활용품으로 출하된 물량의 비율로 정의한다. 이물질 혼입은 배출 단계 분리 미흡이 주된 원인으로 지목됐다.

잔재물 반출량은 5년차에 월평균 1,020톤을 기록해 협약 기준을 넘어섰다. 초과 처리비 부담은 해당 연도에만 6억 원을 웃돌았다. 시는 초과 처리비를 줄이기 위해 잔재물 감량 설비 도입을 검토 중이라고 밝혔다. 도입 여부는 내년 상반기에 결정할 계획이다.",none,,,unanswerable_number
B05-04,context_qa_nogold,,N,세연시 선별장의 광학 선별기를 납품한 업체는 어디인가?,,,,자료는 광학 선별기 대수만 밝히고 납품 업체를 언급하지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"세연시 재활용 선별장은 2018년 준공된 광역 처리시설이다. 시는 기존 소규모 선별장 네 곳을 통합해 하나의 시설로 재편했다. 처리 대상은 생활계 재활용 가능 자원이다. 통합 이전 네 곳은 모두 준공 20년을 넘겨 설비 노후화가 심했다. 부지 면적은 3만 1천 제곱미터다.

설계 처리 용량은 하루 220톤이며, 준공 당시 총사업비는 486억 원이었다. 시설은 광학 선별기 6대와 수선별 라인 4개를 갖췄다. 상시 근무 인원은 3교대 기준 78명이다. 광학 선별기는 재질별로 페트, 플라스틱, 종이 라인에 나눠 배치했다. 수선별 라인은 최종 품질 확인을 맡는다.

시는 선별 잔재물을 인접 소각시설로 반출한다. 반출 물량이 월 900톤을 넘으면 초과분에 대해 톤당 4만 2천 원의 추가 처리비를 부담하도록 협약에 정해져 있다. 협약 상대는 인접 자치단체가 공동 운영하는 소각시설이며, 협약 기간은 10년이다.","세연시 자원순환과가 공개한 선별장 운영 실적은 반입량 증가와 선별 품질 저하를 함께 보여준다. 자료는 최근 5년간의 지표를 담았다. 자료는 반입 계근 기록과 월별 선별 실적 보고를 근거로 작성됐다.

일평균 반입량은 준공 첫해 168톤에서 5년차 214톤으로 늘어 설계 용량에 근접했다. 반면 선별률은 같은 기간 61퍼센트에서 53퍼센트로 떨어졌다. 시는 이물질 혼입 증가를 원인으로 분석했다. 선별률은 반입량 대비 재활용품으로 출하된 물량의 비율로 정의한다. 이물질 혼입은 배출 단계 분리 미흡이 주된 원인으로 지목됐다.

잔재물 반출량은 5년차에 월평균 1,020톤을 기록해 협약 기준을 넘어섰다. 초과 처리비 부담은 해당 연도에만 6억 원을 웃돌았다. 시는 초과 처리비를 줄이기 위해 잔재물 감량 설비 도입을 검토 중이라고 밝혔다. 도입 여부는 내년 상반기에 결정할 계획이다.",none,,,unanswerable_entity
B06-01,context_qa,,Y,동진사랑상품권의 개인별 월 구매 한도와 가맹점 매출 기준은 어떻게 되는가?,,"월 50만 원, 연 매출 30억 원 이하",50만|30억,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"동진군은 2020년 지역화폐 '동진사랑상품권'을 발행하기 시작했다. 군은 역외 소비 유출을 줄이고 소상공인 매출을 늘리는 것을 목표로 내걸었다. 발행 형태는 지류형과 카드형 두 가지다. 지류형은 액면가 5천 원권과 1만 원권 두 종을 발행한다.

발행 첫해 총발행액은 240억 원이었고, 구매 시 할인율은 10퍼센트였다. 개인별 구매 한도는 월 50만 원으로 정했다. 가맹점은 연 매출 30억 원 이하 사업장으로 제한했으며, 첫해 등록 가맹점은 3,180곳이었다. 카드형은 충전식이며 잔액 이월이 가능하다. 가맹점 등록은 상시 접수하고 결격 사유가 없으면 3일 안에 승인한다.

군은 부정 유통을 막기 위해 환전 주기를 주 1회로 정하고, 동일 가맹점에서 하루 100만 원을 넘는 결제가 발생하면 자동 점검 대상으로 분류한다. 점검 대상으로 분류되면 해당 가맹점의 환전이 일시 보류되고 군이 거래 내역을 확인한다. 위반이 확인되면 가맹점 등록을 취소한다.","동진군 일자리경제과는 지역화폐 발행 4년차 효과 분석 결과를 내놨다. 분석은 카드형 결제 데이터와 가맹점 표본 설문을 함께 사용했다. 분석 대상 기간은 발행 첫해부터 4년차까지이며, 표본 가맹점은 420곳이다.

누적 발행액은 4년간 1,470억 원에 이르렀다. 가맹점 표본 조사에서 매출이 늘었다고 답한 비율은 58퍼센트였다. 업종별로는 음식점업의 결제 비중이 34퍼센트로 가장 높았고, 그다음이 소매업 27퍼센트였다. 결제 비중은 카드형 결제 건수를 기준으로 산출했다. 지류형은 환전 시점만 기록돼 업종 구분이 어려웠다.

과제로는 재정 부담이 지목됐다. 할인율 보전에 들어간 군비는 4년 누적 118억 원으로, 발행액 증가에 따라 매년 늘고 있다. 군은 할인율 조정을 검토 중이다. 군비 부담에는 할인율 보전 외에 카드 발급과 시스템 운영 비용이 포함된다. 국비와 도비 지원은 연도별로 편차가 컸다.",1,180,2,answerable_doc1
B06-02,context_qa,,Y,동진사랑상품권의 업종별 결제 비중에서 음식점업과 소매업은 각각 몇 퍼센트인가?,,"음식점업 34퍼센트, 소매업 27퍼센트",34|27,,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"동진군은 2020년 지역화폐 '동진사랑상품권'을 발행하기 시작했다. 군은 역외 소비 유출을 줄이고 소상공인 매출을 늘리는 것을 목표로 내걸었다. 발행 형태는 지류형과 카드형 두 가지다. 지류형은 액면가 5천 원권과 1만 원권 두 종을 발행한다.

발행 첫해 총발행액은 240억 원이었고, 구매 시 할인율은 10퍼센트였다. 개인별 구매 한도는 월 50만 원으로 정했다. 가맹점은 연 매출 30억 원 이하 사업장으로 제한했으며, 첫해 등록 가맹점은 3,180곳이었다. 카드형은 충전식이며 잔액 이월이 가능하다. 가맹점 등록은 상시 접수하고 결격 사유가 없으면 3일 안에 승인한다.

군은 부정 유통을 막기 위해 환전 주기를 주 1회로 정하고, 동일 가맹점에서 하루 100만 원을 넘는 결제가 발생하면 자동 점검 대상으로 분류한다. 점검 대상으로 분류되면 해당 가맹점의 환전이 일시 보류되고 군이 거래 내역을 확인한다. 위반이 확인되면 가맹점 등록을 취소한다.","동진군 일자리경제과는 지역화폐 발행 4년차 효과 분석 결과를 내놨다. 분석은 카드형 결제 데이터와 가맹점 표본 설문을 함께 사용했다. 분석 대상 기간은 발행 첫해부터 4년차까지이며, 표본 가맹점은 420곳이다.

누적 발행액은 4년간 1,470억 원에 이르렀다. 가맹점 표본 조사에서 매출이 늘었다고 답한 비율은 58퍼센트였다. 업종별로는 음식점업의 결제 비중이 34퍼센트로 가장 높았고, 그다음이 소매업 27퍼센트였다. 결제 비중은 카드형 결제 건수를 기준으로 산출했다. 지류형은 환전 시점만 기록돼 업종 구분이 어려웠다.

과제로는 재정 부담이 지목됐다. 할인율 보전에 들어간 군비는 4년 누적 118억 원으로, 발행액 증가에 따라 매년 늘고 있다. 군은 할인율 조정을 검토 중이다. 군비 부담에는 할인율 보전 외에 카드 발급과 시스템 운영 비용이 포함된다. 국비와 도비 지원은 연도별로 편차가 컸다.",2,190,2,answerable_doc2
B06-03,context_qa_nogold,,N,동진사랑상품권 도입 이후 동진군의 역외 소비 유출률은 몇 퍼센트 감소했는가?,,,,자료는 역외 소비 유출 감소를 목표로 밝히지만 실제 유출률 수치는 제시하지 않는다.,"허구 지문 — 외부 검증 불필요, 내적 일관성만 확인",YES,"동진군은 2020년 지역화폐 '동진사랑상품권'을 발행하기 시작했다. 군은 역외 소비 유출을 줄이고 소상공인 매출을 늘리는 것을 목표로 내걸었다. 발행 형태는 지류형과 카드형 두 가지다. 지류형은 액면가 5천 원권과 1만 원권 두 종을 발행한다.

발행 첫해 총발행액은 240억 원이었고, 구매 시 할인율은 10퍼센트였다. 개인별 구매 한도는 월 50만 원으로 정했다. 가맹점은 연 매출 30억 원 이하 사업장으로 제한했으며, 첫해 등록 가맹점은 3,180곳이었다. 카드형은 충전식이며 잔액 이월이 가능하다. 가맹점 등록은 상시 접수하고 결격 사유가 없으면 3일 안에 승인한다.

군은 부정 유통을 막기 위해 환전 주기를 주 1회로 정하고, 동일 가맹점에서 하루 100만 원을 넘는 결제가 발생하면 자동 점검 대상으로 분류한다. 점검 대상으로 분류되면 해당 가맹점의 환전이 일시 보류되고 군이 거래 내역을 확인한다. 위반이 확인되면 가맹점 등록을 취소한다.","동진군 일자리경제과는 지역화폐 발행 4년차 효과 분석 결과를 내놨다. 분석은 카드형 결제 데이터와 가맹점 표본 설문을 함께 사용했다. 분석 대상 기간은 발행 첫해부터 4년차까지이며, 표본 가맹점은 420곳이다.

누적 발행액은 4년간 1,470억 원에 이르렀다. 가맹점 표본 조사에서 매출이 늘었다고 답한 비율은 58퍼센트였다. 업종별로는 음식점업의 결제 비중이 34퍼센트로 가장 높았고, 그다음이 소매업 27퍼센트였다. 결제 비중은 카드형 결제 건수를 기준으로 산출했다. 지류형은 환전 시점만 기록돼 업종 구분이 어려웠다.

과제로는 재정 부담이 지목됐다. 할인율 보전에 들어간 군비는 4년 누적 118억 원으로, 발행액 증가에 따라 매년 늘고 있다. 군은 할인율 조정을 검토 중이다. 군비 부담에는 할인율 보전 외에 카드 발급과 시스템 운영 비용이 포함된다. 국비와 도비 지원은 연도별로 편차가 컸다.",none,,,unanswerable_number
